proposal_id,invoice_twin_id,supplier_number,supplier_invoice_number,source_batch_id,source_file_or_chunk,source_line_or_ordinal,idempotency_key,erp_document_number,erp_status,http_status,attempts,idempotency_replay
prp_0000001,twn_f119194fa941d1ab,0000000401,0004803,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,315,blp:acme-ch:prp_0000001:7c048638190f9b7d,AP-2026-0000001,posted,207,1,false
prp_0000002,twn_46e0bdac4277ddec,0000000402,0004741,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,107,blp:acme-ch:prp_0000002:c09170391250b83b,AP-2026-0000002,posted,207,1,false
prp_0000003,twn_f1da540f8ce09f5f,0000000403,0004768,md-6930bcd9db16cc44,KRED_0200_20260416_001.txt,34,blp:acme-ch:prp_0000003:5d2c0b9958644268,AP-2026-0000003,posted,207,1,false
prp_0000004,twn_a37ac3293f3027a3,0000000406,0004720,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,35,blp:acme-ch:prp_0000004:4b47af6eab12ffe0,AP-2026-0000004,posted,207,1,false
prp_0000005,twn_1b353dcd466ab4fd,0000000410,0004791,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,275,blp:acme-ch:prp_0000005:2aa559cb3c21924d,AP-2026-0000005,posted,207,1,false
prp_0000006,twn_0e458b1858a55a39,0000000412,0004772,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,211,blp:acme-ch:prp_0000006:a13ec507be08f688,AP-2026-0000006,posted,207,1,false
prp_0000007,twn_e053c5f7215abbed,0000000415,0004786,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,259,blp:acme-ch:prp_0000007:e59bda8bc93c7053,AP-2026-0000007,posted,207,1,false
prp_0000008,twn_564ee21ea02afb79,0000000417,0004711,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,2,blp:acme-ch:prp_0000008:b5db19bb8e46e1d0,AP-2026-0000008,posted,207,1,false
prp_0000009,twn_f269e86afed23269,0000000417,0004713,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,10,blp:acme-ch:prp_0000009:c992ed6ccb994d7d,AP-2026-0000009,posted,207,1,false
prp_0000010,twn_b4d9996a2ab8cc66,0000000417,0004714,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,14,blp:acme-ch:prp_0000010:d401c3ac36739f89,AP-2026-0000010,posted,207,1,false
prp_0000011,twn_c3986a9688c357e9,0000000417,0004715,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,18,blp:acme-ch:prp_0000011:016b7a0d9de56df2,AP-2026-0000011,posted,207,1,false
prp_0000012,twn_b018c9094243418e,0000000417,0004751,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,143,blp:acme-ch:prp_0000012:0e7014d36cae4c96,AP-2026-0000012,posted,207,1,false
prp_0000013,twn_dd59158083cdeb04,0000000417,4711,md-6930bcd9db16cc44,KRED_0100_20260416_001.txt,6,blp:acme-ch:prp_0000013:f7cca4a1fea6901f,AP-2026-0000013,posted,207,1,false
